threshold,accuracy,n_signals
0.5,0.46421267893660534,65
0.51,0.4621676891615542,62
0.52,0.4539877300613497,58
0.53,0.45807770961145194,54
0.54,0.4621676891615542,50
0.55,0.46421267893660534,47
0.56,0.4621676891615542,46
0.5700000000000001,0.4601226993865031,45
0.5800000000000001,0.45807770961145194,42
0.5900000000000001,0.45807770961145194,40
0.6000000000000001,0.45807770961145194,38
0.6100000000000001,0.4601226993865031,37
0.6200000000000001,0.46421267893660534,35
0.6300000000000001,0.4621676891615542,34
0.6400000000000001,0.4560327198364008,31
0.6500000000000001,0.45807770961145194,28
0.6600000000000001,0.45807770961145194,26
0.6700000000000002,0.4560327198364008,25
0.6800000000000002,0.45807770961145194,24
0.6900000000000002,0.45807770961145194,22
0.7000000000000002,0.45807770961145194,20
0.7100000000000002,0.45194274028629855,17
0.7200000000000002,0.4498977505112474,16
0.7300000000000002,0.45194274028629855,15
0.7400000000000002,0.45194274028629855,13
0.7500000000000002,0.44785276073619634,11
0.7600000000000002,0.44785276073619634,9
0.7700000000000002,0.44785276073619634,7
0.7800000000000002,0.4498977505112474,6
0.7900000000000003,0.44785276073619634,5
0.8000000000000003,0.4458077709611452,4
0.8100000000000003,0.4458077709611452,4
0.8200000000000003,0.4437627811860941,3
0.8300000000000003,0.4437627811860941,3
0.8400000000000003,0.4437627811860941,3
0.8500000000000003,0.4437627811860941,3
0.8600000000000003,0.4437627811860941,3
0.8700000000000003,0.4437627811860941,3
0.8800000000000003,0.4437627811860941,3
0.8900000000000003,0.4437627811860941,3
0.9000000000000004,0.4396728016359918,1
0.9100000000000004,0.4396728016359918,1
0.9200000000000004,0.4396728016359918,1
0.9300000000000004,0.4396728016359918,1
0.9400000000000004,0.4396728016359918,1
0.9500000000000004,0.4396728016359918,1
